City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
170,Vila Velha,BR,2021-09-20 00:23:36,-20.3297,-40.2925,76.95,78,75,4.61
171,San Andres,CO,2021-09-20 00:23:36,12.5847,-81.7006,82.42,78,40,3.44
172,Mecca,SA,2021-09-20 00:22:16,21.4267,39.8261,84.2,40,25,6.87
173,Viransehir,TR,2021-09-20 00:23:36,37.2353,39.7631,76.53,22,0,6.85
174,Antofagasta,CL,2021-09-20 00:22:23,-23.65,-70.4,56.48,79,95,7.76
175,Felipe Carrillo Puerto,MX,2021-09-20 00:23:36,19.5833,-88.05,80.62,77,35,4.63
176,Copiapo,CL,2021-09-20 00:23:37,-27.3667,-70.3333,49.69,57,1,1.52
177,Old Shinyanga,TZ,2021-09-20 00:23:37,-3.55,33.4,72.27,40,97,8.28
178,Denizli,TR,2021-09-20 00:23:37,37.8402,29.0698,65.25,47,2,3.4
179,Bedesa,ET,2021-09-20 00:23:37,8.9,40.7833,66.04,66,96,2.33
180,Caravelas,BR,2021-09-20 00:23:38,-17.7125,-39.2481,71.73,83,45,6.08
181,Krutinka,RU,2021-09-20 00:22:06,56.0055,71.5113,35.24,97,100,19.01
182,Nantucket,US,2021-09-20 00:23:38,41.2835,-70.0995,64.96,75,1,4.61
183,Bam,IR,2021-09-20 00:23:38,29.106,58.357,82.78,8,3,4.32
184,Warri,NG,2021-09-20 00:23:39,5.5167,5.75,76.68,90,100,2.91
185,Wattegama,LK,2021-09-20 00:23:39,6.7989,81.4808,77.92,87,24,2.8
186,Leh,IN,2021-09-20 00:23:39,34.1667,77.5833,56.91,41,0,3.36
187,San-Pedro,CI,2021-09-20 00:23:39,4.7485,-6.6363,76.28,92,4,3.33
188,Kalmunai,LK,2021-09-20 00:23:40,7.4167,81.8167,79.61,84,66,4.25
189,Ponto Novo,BR,2021-09-20 00:23:40,-10.8628,-40.1336,74.26,40,84,4.47
190,Port Victoria,KE,2021-09-20 00:23:40,0.0939,33.9756,69.3,81,96,5.03
191,Souillac,MU,2021-09-20 00:23:41,-20.5167,57.5167,68.38,60,20,5.75
192,Quatre Cocos,MU,2021-09-20 00:23:41,-20.2078,57.7625,68.11,61,73,10.45
193,Kumeny,RU,2021-09-20 00:23:41,58.1089,49.9161,37.71,59,100,5.53
194,Ust-Tsilma,RU,2021-09-20 00:19:16,65.441,52.1498,38.12,75,100,6.51
195,Jaque,PA,2021-09-20 00:23:41,7.5175,-78.1703,80.08,84,84,1.95
196,Touros,BR,2021-09-20 00:22:47,-5.1989,-35.4608,77.9,75,99,16.84
197,Lagoa,PT,2021-09-20 00:23:42,39.05,-27.9833,68.97,63,72,11.79
198,Kano,NG,2021-09-20 00:23:42,12.0001,8.5167,77.36,70,50,6.44
199,Pultusk,PL,2021-09-20 00:23:42,52.7025,21.0828,49.05,77,100,10.2
200,Batticaloa,LK,2021-09-20 00:23:42,7.7102,81.6924,81.45,79,85,3.83
201,Bull Savanna,JM,2021-09-20 00:23:43,17.8868,-77.5902,78.66,81,98,5.41
202,Saint-Pierre,RE,2021-09-20 00:23:43,-21.3393,55.4781,62.28,70,75,9.22
203,Grand-Santi,GF,2021-09-20 00:23:43,4.25,-54.3833,78.73,76,98,2.48
204,Port Blair,IN,2021-09-20 00:23:43,11.6667,92.75,80.33,84,100,4.16
205,Gorele,TR,2021-09-20 00:23:44,41.0308,39.0031,69.24,68,24,4.09
206,Chadiza,ZM,2021-09-20 00:23:44,-14.0678,32.4392,59.41,71,0,3.18
