City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
360,Tharad,IN,81.14,clear sky,24.3961,71.6267,Shree Nandan Couriyar Service
363,Cayenne,GF,82.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
367,Hobyo,SO,77.32,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
380,Cotonou,BJ,80.58,light rain,6.3654,2.4183,Novotel Cotonou Orisha
381,Miram Shah,PK,75.69,clear sky,33.0086,70.0697,Bachelor Hostel
384,San Ramon,US,88.27,clear sky,37.7799,-121.978,San Ramon Marriott
386,Surt,LY,76.98,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
390,Cururupu,BR,77.22,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
395,Mitsamiouli,KM,75.56,clear sky,-11.3847,43.2844,Foyer ADM
402,Kalmunai,LK,82.56,broken clouds,7.4167,81.8167,VS Villa
405,Kapoeta,SS,79.47,overcast clouds,4.7717,33.5903,Eastgate Hotel
407,Saint George,US,88.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
408,Damietta,EG,75.09,scattered clouds,31.4165,31.8133,SULIMAN INN
416,Srivardhan,IN,76.89,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
422,Bandiagara,ML,83.71,few clouds,14.3501,-3.6104,Hotel de la Falaise
426,Lethem,GY,79.14,overcast clouds,3.3803,-59.7968,Savannah Inn
427,Fuerte Olimpo,PY,80.76,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
429,Mogadishu,SO,77.02,few clouds,2.0371,45.3438,Hotel Juba
438,Lakhnadon,IN,75.29,overcast clouds,22.6,79.6,HOTEL PRIDE
441,Umm Lajj,SA,81.81,clear sky,25.0213,37.2685,Moon light Furnished Units
442,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
444,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
448,Natal,BR,79.02,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
453,Pasni,PK,78.4,overcast clouds,25.2631,63.471,Kashmiri Hotal
454,Granja,BR,76.1,overcast clouds,-3.1203,-40.8261,Pousada Casa Grande
458,Manavalakurichi,IN,82.49,overcast clouds,8.1333,77.3,Udaya Boys Hostel
461,Tabuk,PH,84.43,few clouds,17.4189,121.4443,Golden Berries Hotel and Convention
463,Baoma,CN,75.27,overcast clouds,31.4859,106.1128,Center Restaurant
470,Kribi,CM,75.31,overcast clouds,2.95,9.9167,Les Vagues bleues
490,Conceicao Do Araguaia,BR,88.97,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
492,San Ignacio,BZ,75.34,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
493,Port-Gentil,GA,77.23,overcast clouds,-0.7193,8.7815,Fengshui Residence
496,Sao Felix Do Xingu,BR,80.38,few clouds,-6.6447,-51.995,Rio Xingu Camping
497,Sao Jose Da Coroa Grande,BR,76.46,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
500,Harper,LR,76.77,light rain,4.375,-7.7169,Screensaver
502,Kavaratti,IN,81.81,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
506,Kibala,TD,76.95,clear sky,9.1104,18.3463,hotel safari
509,Sao Miguel Do Tapuio,BR,79.97,overcast clouds,-5.5036,-41.3233,Hotel Tropical
510,Buchanan,LR,76.8,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
512,Parintins,BR,77.61,overcast clouds,-2.6283,-56.7358,Cama e Cafe
513,Bonthe,SL,77.13,moderate rain,7.5264,-12.505,Bonthe Holiday Village
516,Usta Muhammad,PK,87.62,broken clouds,28.1794,68.0445,Teshseel Colony
520,Alexandria,EG,75.16,scattered clouds,31.2156,29.9553,Royal Crown Hotel
521,Maragogi,BR,76.12,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
522,Coromandel,BR,77.25,broken clouds,-18.4733,-47.2003,Hotel Dona Adélia
527,Matale,LK,77.58,overcast clouds,7.4721,80.6234,Anil's Inn
528,Amli,IN,76.28,overcast clouds,20.2833,73.0167,Pluz Resort
534,Santa Maria Da Vitoria,BR,81.84,broken clouds,-13.3947,-44.1886,Pousada Rio Current
546,Lamu,KE,77.22,clear sky,-2.2717,40.902,Lamu House
547,La Asuncion,VE,80.74,clear sky,11.0333,-63.8628,Colinas de Matasiete
549,Bengkulu,ID,82.24,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
553,Barreirinhas,BR,78.8,scattered clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
554,Porto Novo,BJ,80.42,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
557,Itarema,BR,78.57,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
559,Kudahuvadhoo,MV,83.03,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
564,Cockburn Town,TC,83.32,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
566,La Palma,US,85.8,smoke,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
567,Abnub,EG,75.42,clear sky,27.2696,31.1511,Romany Adly Gad
569,Bhagalpur,IN,79.88,overcast clouds,25.25,87.0,Rajhans International Hotel
574,Yarada,IN,80.92,mist,17.65,83.2667,Jeevan
